work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020,SE,FT,Data Engineer,13.487007879880162,MXN,10.419658862626871,MX,0.0,MX,S
2021e,MI,FT,Data Engineer,11.58989576532275,TRY,9.480825419599443,TR,0.0,TR,M
2021e,EN,FT,Data Scientist,10.34177474101152,EUR,10.51740211387893,FR,3.9318256327243257,FR,L
2021e,MI,FT,Data Engineer,10.868587496017359,GBP,11.193078263422583,GB,3.9318256327243257,GB,L
2020,EN,FT,Data Analyst,11.418625774449596,USD,11.418625774449596,US,4.61512051684126,US,L
2021e,SE,FT,Data Scientist,12.013706813470414,USD,12.013706813470414,US,4.61512051684126,US,L
2021e,EN,FT,Data Engineer,14.285514812209815,INR,9.984883190740122,IN,3.9318256327243257,IN,M
2020,EN,FT,Research Scientist,10.645448706505872,USD,10.645448706505872,NL,3.9318256327243257,NL,L
2020,SE,FT,Machine Learning Scientist,12.468440756144114,USD,12.468440756144114,JP,0.0,JP,S
2021e,MI,FT,Data Architect,12.100717685412471,USD,12.100717685412471,US,4.61512051684126,US,L
2021e,SE,FT,ML Engineer,12.45293662970407,USD,12.45293662970407,US,4.61512051684126,US,S
2021e,EN,FT,Data Engineer,11.19135563385109,USD,11.19135563385109,US,4.61512051684126,US,L
2021e,SE,FT,Machine Learning Engineer,12.128116509451258,USD,12.128116509451258,US,3.9318256327243257,US,L
2021e,MI,PT,Data Engineer,10.985309671896763,EUR,11.160953729302063,NL,4.61512051684126,NL,L
2021e,MI,FT,Data Engineer,11.626263078808801,USD,11.626263078808801,US,4.61512051684126,US,L
2021e,SE,FT,AI Scientist,10.915106645867503,USD,10.915106645867503,ES,4.61512051684126,ES,L
2021e,EN,FT,Data Scientist,10.968215530759236,USD,10.968215530759236,US,3.9318256327243257,US,L
2021e,SE,FT,Data Scientist,11.09317378810361,EUR,11.268826372009427,FR,3.9318256327243257,FR,M
2020,EN,FT,Data Analyst,11.184435286790631,USD,11.184435286790631,US,4.61512051684126,US,L
2021e,MI,FT,Data Engineer,11.624252147606558,USD,11.624252147606558,US,0.0,US,M
